,2011/02,2011/02,2011/02,2011/02,2011/02,2011/02,2011/02,2011/02,2012/02,2012/02,2012/02,2012/02,2012/02,2012/02,2012/02,2012/02,2013/02,2013/02,2013/02,2013/02,2013/02,2013/02,2013/02,2013/02,2014/02,2014/02,2014/02,2014/02,2014/02,2014/02,2014/02,2014/02,2014/08,2014/08,2014/08,2014/08,2014/08,2014/08,2014/08,2014/08,2014/12,2014/12,2014/12,2014/12,2014/12,2014/12,2014/12,2014/12,2015/02,2015/02,2015/02,2015/02,2015/02,2015/02,2015/02,2015/02,2015/06,2015/06,2015/06,2015/06,2015/06,2015/06,2015/06,2015/06,2015/07,2015/07,2015/07,2015/07,2015/07,2015/07,2015/07,2015/07,2015/08,2015/08,2015/08,2015/08,2015/08,2015/08,2015/08,2015/08,2015/09,2015/09,2015/09,2015/09,2015/09,2015/09,2015/09,2015/09,2015/11,2015/11,2015/11,2015/11,2015/11,2015/11,2015/11,2015/11,2015/12,2015/12,2015/12,2015/12,2015/12,2015/12,2015/12,2015/12,2016/02,2016/02,2016/02,2016/02,2016/02,2016/02,2016/02,2016/02,2016/03,2016/03,2016/03,2016/03,2016/03,2016/03,2016/03,2016/03,2016/06,2016/06,2016/06,2016/06,2016/06,2016/06,2016/06,2016/06,2016/07,2016/07,2016/07,2016/07,2016/07,2016/07,2016/07,2016/07,2016/08,2016/08,2016/08,2016/08,2016/08,2016/08,2016/08,2016/08,2016/09,2016/09,2016/09,2016/09,2016/09,2016/09,2016/09,2016/09,2016/11,2016/11,2016/11,2016/11,2016/11,2016/11,2016/11,2016/11,2016/12,2016/12,2016/12,2016/12,2016/12,2016/12,2016/12,2016/12,2017/02,2017/02,2017/02,2017/02,2017/02,2017/02,2017/02,2017/02,2017/03,2017/03,2017/03,2017/03,2017/03,2017/03,2017/03,2017/03,2017/06,2017/06,2017/06,2017/06,2017/06,2017/06,2017/06,2017/06,2017/07,2017/07,2017/07,2017/07,2017/07,2017/07,2017/07,2017/07,2017/08,2017/08,2017/08,2017/08,2017/08,2017/08,2017/08,2017/08,2017/09,2017/09,2017/09,2017/09,2017/09,2017/09,2017/09,2017/09,2017/11,2017/11,2017/11,2017/11,2017/11,2017/11,2017/11,2017/11,2017/12,2017/12,2017/12,2017/12,2017/12,2017/12,2017/12,2017/12,2018/02,2018/02,2018/02,2018/02,2018/02,2018/02,2018/02,2018/02,2018/03,2018/03,2018/03,2018/03,2018/03,2018/03,2018/03,2018/03,2018/06,2018/06,2018/06,2018/06,2018/06,2018/06,2018/06,2018/06,2018/07,2018/07,2018/07,2018/07,2018/07,2018/07,2018/07,2018/07,2018/08,2018/08,2018/08,2018/08,2018/08,2018/08,2018/08,2018/08,2018/09,2018/09,2018/09,2018/09,2018/09,2018/09,2018/09,2018/09,2018/11,2018/11,2018/11,2018/11,2018/11,2018/11,2018/11,2018/11,2018/12,2018/12,2018/12,2018/12,2018/12,2018/12,2018/12,2018/12,2019/02,2019/02,2019/02,2019/02,2019/02,2019/02,2019/02,2019/02,2019/03,2019/03,2019/03,2019/03,2019/03,2019/03,2019/03,2019/03,2019/06,2019/06,2019/06,2019/06,2019/06,2019/06,2019/06,2019/06,2019/07,2019/07,2019/07,2019/07,2019/07,2019/07,2019/07,2019/07,2019/08,2019/08,2019/08,2019/08,2019/08,2019/08,2019/08,2019/08,2019/09,2019/09,2019/09,2019/09,2019/09,2019/09,2019/09,2019/09,회사명,업종,주요제품,상장일,결산월,대표자명,홈페이지,지역
,ROA,ROE,ROIC,매출증가율,부채비율,영업이익율,유동비율,유보율,ROA,ROE,ROIC,매출증가율,부채비율,영업이익율,유동비율,유보율,ROA,ROE,ROIC,매출증가율,부채비율,영업이익율,유동비율,유보율,ROA,ROE,ROIC,매출증가율,부채비율,영업이익율,유동비율,유보율,ROA,ROE,ROIC,매출증가율,부채비율,영업이익율,유동비율,유보율,ROA,ROE,ROIC,매출증가율,부채비율,영업이익율,유동비율,유보율,ROA,ROE,ROIC,매출증가율,부채비율,영업이익율,유동비율,유보율,ROA,ROE,ROIC,매출증가율,부채비율,영업이익율,유동비율,유보율,ROA,ROE,ROIC,매출증가율,부채비율,영업이익율,유동비율,유보율,ROA,ROE,ROIC,매출증가율,부채비율,영업이익율,유동비율,유보율,ROA,ROE,ROIC,매출증가율,부채비율,영업이익율,유동비율,유보율,ROA,ROE,ROIC,매출증가율,부채비율,영업이익율,유동비율,유보율,ROA,ROE,ROIC,매출증가율,부채비율,영업이익율,유동비율,유보율,ROA,ROE,ROIC,매출증가율,부채비율,영업이익율,유동비율,유보율,ROA,ROE,ROIC,매출증가율,부채비율,영업이익율,유동비율,유보율,ROA,ROE,ROIC,매출증가율,부채비율,영업이익율,유동비율,유보율,ROA,ROE,ROIC,매출증가율,부채비율,영업이익율,유동비율,유보율,ROA,ROE,ROIC,매출증가율,부채비율,영업이익율,유동비율,유보율,ROA,ROE,ROIC,매출증가율,부채비율,영업이익율,유동비율,유보율,ROA,ROE,ROIC,매출증가율,부채비율,영업이익율,유동비율,유보율,ROA,ROE,ROIC,매출증가율,부채비율,영업이익율,유동비율,유보율,ROA,ROE,ROIC,매출증가율,부채비율,영업이익율,유동비율,유보율,ROA,ROE,ROIC,매출증가율,부채비율,영업이익율,유동비율,유보율,ROA,ROE,ROIC,매출증가율,부채비율,영업이익율,유동비율,유보율,ROA,ROE,ROIC,매출증가율,부채비율,영업이익율,유동비율,유보율,ROA,ROE,ROIC,매출증가율,부채비율,영업이익율,유동비율,유보율,ROA,ROE,ROIC,매출증가율,부채비율,영업이익율,유동비율,유보율,ROA,ROE,ROIC,매출증가율,부채비율,영업이익율,유동비율,유보율,ROA,ROE,ROIC,매출증가율,부채비율,영업이익율,유동비율,유보율,ROA,ROE,ROIC,매출증가율,부채비율,영업이익율,유동비율,유보율,ROA,ROE,ROIC,매출증가율,부채비율,영업이익율,유동비율,유보율,ROA,ROE,ROIC,매출증가율,부채비율,영업이익율,유동비율,유보율,ROA,ROE,ROIC,매출증가율,부채비율,영업이익율,유동비율,유보율,ROA,ROE,ROIC,매출증가율,부채비율,영업이익율,유동비율,유보율,ROA,ROE,ROIC,매출증가율,부채비율,영업이익율,유동비율,유보율,ROA,ROE,ROIC,매출증가율,부채비율,영업이익율,유동비율,유보율,ROA,ROE,ROIC,매출증가율,부채비율,영업이익율,유동비율,유보율,ROA,ROE,ROIC,매출증가율,부채비율,영업이익율,유동비율,유보율,ROA,ROE,ROIC,매출증가율,부채비율,영업이익율,유동비율,유보율,ROA,ROE,ROIC,매출증가율,부채비율,영업이익율,유동비율,유보율,ROA,ROE,ROIC,매출증가율,부채비율,영업이익율,유동비율,유보율,ROA,ROE,ROIC,매출증가율,부채비율,영업이익율,유동비율,유보율,ROA,ROE,ROIC,매출증가율,부채비율,영업이익율,유동비율,유보율,,,,,,,,
A000020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8,2.4,2.6,4.6,37.8,2.2,195.7,730.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2,10.9,5.0,6.4,28.3,4.7,273.2,812.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.6,17.1,5.0,9.0,23.7,4.2,386.2,972.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7,3.4,5.0,18.4,24.6,3.7,374.8,972.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.7,0.8,-3.2,27.4,0.9,362.7,962.0,동화약품,의약품 제조업,"의약품 제조,판매,수출입",1976-03-24,12월,박기환,http://www.dong-wha.co.kr,서울특별시
A000040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11.3,-29.2,-15.7,1.1,132.6,-19.9,108.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.5,-15.8,-7.6,5.1,137.3,-9.6,108.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-24.5,-61.3,-21.3,-50.9,139.8,-62.5,96.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-18.6,-49.3,-18.7,-12.2,121.6,-44.5,123.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-13.8,-39.2,-14.0,305.6,120.8,-9.5,103.3,,KR모터스,그외 기타 운송장비 제조업,"이륜차(오토바이) 제조,도매",1976-05-25,12월,이기복,http://www.krmotors.com,경상남도
A000050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3,2.6,20.4,8.7,98.9,10.9,58.1,4736.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3,4.4,29.0,5.5,91.5,11.5,68.2,4859.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.7,25.7,-4.4,82.2,11.7,28.3,5000.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6,2.9,24.6,-2.6,83.7,11.7,74.0,5111.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.9,10.5,-2.0,88.2,8.5,69.5,5139.6,경방,종합 소매업,"섬유류(면사,면혼방사,면직물,면혼방직물,화섬사,화섬직물) 제조,도매,수출입",1956-03-03,12월,"김준, 김담",http://www.kyungbang.co.kr,서울특별시
A000060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,11.7,,,,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,15.2,,,,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,22.5,,,,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,11.6,,,,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,12.0,,,,4.3,,,메리츠화재,보험업,"손해보험(화재,해상,운송보험)",1956-07-02,12월,김용범,http://www.meritzfire.com,서울특별시
A000070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7,3.5,6.1,-2.0,71.0,4.9,179.4,2949.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,1.7,6.2,6.5,71.3,6.1,156.1,2973.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,2.8,4.9,3.7,68.9,4.1,208.2,3020.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1,5.0,6.6,7.0,65.5,5.4,161.0,3105.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1,4.9,5.8,-2.5,77.7,5.2,237.0,3196.6,삼양홀딩스,기타 금융업,"지주회사,경영자문컨설팅",1968-12-27,12월,윤재엽,http://www.samyang.com,서울특별시
A000080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6,4.0,3.9,1.9,161.3,7.0,59.3,279.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,2.9,3.7,-0.9,163.3,6.6,67.9,270.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,1.0,1.5,-0.0,188.1,4.6,64.7,250.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,1.9,2.7,-0.2,194.9,4.8,63.8,235.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.7,-2.0,19.3,4.4,209.5,3.8,59.4,219.0,하이트진로,알코올음료 제조업,소주,2009-10-19,12월,김인규,http://www.hitejinro.com,서울특별시
A000100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.2,9.6,15.3,10.9,37.9,7.6,269.0,2582.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2,11.3,15.2,17.0,36.7,7.4,323.1,2817.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3,7.0,11.4,10.7,30.4,6.1,387.1,2845.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7,3.6,5.2,3.9,31.6,3.3,317.7,2803.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,2.9,0.5,-1.6,29.5,0.4,357.8,2681.6,유한양행,의약품 제조업,"의약품(삐콤씨,알마겔,세파졸린주사,아코텍스주사,이세파신,신생아호흡곤란치료제 등),생활용품(유한락스,비누,홈키파),식혜 도매",1962-11-01,12월,대표이사 이정희,http://www.yuhan.co.kr,서울특별시
A000120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,2.0,4.3,10.9,89.8,3.7,96.4,2382.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,2.4,4.6,20.3,101.6,3.8,110.9,2402.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,2.0,3.4,16.9,127.8,3.3,95.4,2405.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,2.1,3.2,29.7,151.3,2.6,83.4,2627.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.2,1.8,13.2,159.0,2.7,88.0,2947.9,CJ대한통운,도로 화물 운송업,"Contract Logistics, 포워딩, 항만하역, 해운, 택배국제특송, SCM Consulting",1956-07-02,12월,"박근희, 박근태, 김춘학(각자대표)",http://www.cjlogistics.com,서울특별시
A000140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,3.8,3.4,2.0,266.1,7.6,45.6,403.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,5.4,3.2,-1.6,229.6,7.0,50.9,433.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2,-2.8,-1.6,-0.8,257.7,5.3,52.2,404.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,-0.6,1.3,-0.2,264.1,5.5,49.5,389.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.8,-4.4,9.8,4.4,280.4,4.5,50.8,376.5,하이트진로홀딩스,기타 금융업,지주회사,1973-09-19,12월,김인규,http://www.hitejinroholdings.com,서울특별시
