,2011/02,2011/02,2011/02,2011/02,2012/02,2012/02,2012/02,2012/02,2013/02,2013/02,2013/02,2013/02,2014/02,2014/02,2014/02,2014/02,2014/08,2014/08,2014/08,2014/08,2014/12,2014/12,2014/12,2014/12,2015/02,2015/02,2015/02,2015/02,2015/06,2015/06,2015/06,2015/06,2015/07,2015/07,2015/07,2015/07,2015/08,2015/08,2015/08,2015/08,2015/09,2015/09,2015/09,2015/09,2015/11,2015/11,2015/11,2015/11,2015/12,2015/12,2015/12,2015/12,2016/02,2016/02,2016/02,2016/02,2016/03,2016/03,2016/03,2016/03,2016/06,2016/06,2016/06,2016/06,2016/07,2016/07,2016/07,2016/07,2016/08,2016/08,2016/08,2016/08,2016/09,2016/09,2016/09,2016/09,2016/11,2016/11,2016/11,2016/11,2016/12,2016/12,2016/12,2016/12,2017/02,2017/02,2017/02,2017/02,2017/03,2017/03,2017/03,2017/03,2017/06,2017/06,2017/06,2017/06,2017/07,2017/07,2017/07,2017/07,2017/08,2017/08,2017/08,2017/08,2017/09,2017/09,2017/09,2017/09,2017/11,2017/11,2017/11,2017/11,2017/12,2017/12,2017/12,2017/12,2018/02,2018/02,2018/02,2018/02,2018/03,2018/03,2018/03,2018/03,2018/06,2018/06,2018/06,2018/06,2018/07,2018/07,2018/07,2018/07,2018/08,2018/08,2018/08,2018/08,2018/09,2018/09,2018/09,2018/09,2018/11,2018/11,2018/11,2018/11,2018/12,2018/12,2018/12,2018/12,2019/02,2019/02,2019/02,2019/02,2019/03,2019/03,2019/03,2019/03,2019/06,2019/06,2019/06,2019/06,2019/07,2019/07,2019/07,2019/07,2019/08,2019/08,2019/08,2019/08,2019/09,2019/09,2019/09,2019/09,회사명,업종,주요제품,상장일,결산월,대표자명,홈페이지,지역
,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,,,,,,,,
A000020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,13.01,40.54,1.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.89,5.97,8.64,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.91,4.65,5.79,1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.85,11.86,25.24,0.83,,,,,,,,,,,,,,,,,,,,,0.74,,,,동화약품,의약품 제조업,"의약품 제조,판매,수출입",1976-03-24,12월,박기환,http://www.dong-wha.co.kr,서울특별시
A000040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.15,,,2.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.49,,,1.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.40,,,1.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.79,,,1.69,,,,,,,,,,,,,,,,,,,,,2.33,,,,KR모터스,그외 기타 운송장비 제조업,"이륜차(오토바이) 제조,도매",1976-05-25,12월,이기복,http://www.krmotors.com,경상남도
A000050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.80,11.69,31.61,1.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.62,7.04,14.23,1.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.55,6.94,15.05,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.41,5.74,14.66,0.84,,,,,,,,,,,,,,,,,,,,,0.37,,,,경방,종합 소매업,"섬유류(면사,면혼방사,면직물,면혼방직물,화섬사,화섬직물) 제조,도매,수출입",1956-03-03,12월,"김준, 김담",http://www.kyungbang.co.kr,서울특별시
A000060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.15,,10.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.03,,7.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.45,,6.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.08,,10.46,,,,,,,,,,,,,,,,,,,,,,0.74,,,,메리츠화재,보험업,"손해보험(화재,해상,운송보험)",1956-07-02,12월,김용범,http://www.meritzfire.com,서울특별시
A000070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.04,12.10,30.33,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.78,10.07,46.87,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.78,9.47,28.72,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.49,4.74,9.95,0.27,,,,,,,,,,,,,,,,,,,,,0.36,,,,삼양홀딩스,기타 금융업,"지주회사,경영자문컨설팅",1968-12-27,12월,윤재엽,http://www.samyang.com,서울특별시
A000080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.19,9.63,31.31,0.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.10,9.57,39.18,0.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.33,12.98,135.43,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.96,8.04,53.17,0.63,,,,,,,,,,,,,,,,,,,,,1.65,,,,하이트진로,알코올음료 제조업,소주,2009-10-19,12월,김인규,http://www.hitejinro.com,서울특별시
A000100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.04,19.83,24.71,2.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.43,11.66,14.76,1.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.56,16.91,25.01,1.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.47,22.85,46.30,1.75,,,,,,,,,,,,,,,,,,,,,1.64,,,,유한양행,의약품 제조업,"의약품(삐콤씨,알마겔,세파졸린주사,아코텍스주사,이세파신,신생아호흡곤란치료제 등),생활용품(유한락스,비누,홈키파),식혜 도매",1962-11-01,12월,대표이사 이정희,http://www.yuhan.co.kr,서울특별시
A000120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.54,25.47,94.84,0.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.43,20.34,73.19,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.12,15.35,68.28,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.22,14.30,72.33,0.41,,,,,,,,,,,,,,,,,,,,,0.95,,,,CJ대한통운,도로 화물 운송업,"Contract Logistics, 포워딩, 항만하역, 해운, 택배국제특송, SCM Consulting",1956-07-02,12월,"박근희, 박근태, 김춘학(각자대표)",http://www.cjlogistics.com,서울특별시
A000140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.54,2.40,17.54,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.47,2.05,10.56,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.40,2.44,,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.29,1.44,,0.09,,,,,,,,,,,,,,,,,,,,,0.47,,,,하이트진로홀딩스,기타 금융업,지주회사,1973-09-19,12월,김인규,http://www.hitejinroholdings.com,서울특별시
