code,name,date,open,high,low,close,volume,volume-1,volume-2,volume-3,candle,candle-1,candle-2,candle-3,ma5,dcm-ma5,ma20,dcm-ma20
155660,DSR,2020-01-03,4675,4860,4660,4740,368816,82136.0,56658.0,100021.0,1.0139,1.0142,0.9978,1.0166,4626.0,1.0246,4394.75,1.0786
001250,GS글로벌,2020-01-03,2230,2240,2225,2235,122113,167047.0,98866.0,81415.0,1.0022,1.0023,1.0023,1.0114,2217.0,1.0081,2232.5,1.0011
082740,HSD엔진,2020-01-03,4585,4650,4500,4540,257438,236952.0,200876.0,134730.0,0.9902,1.0033,1.0276,1.0139,4458.0,1.0184,4380.5,1.0364
011070,LG이노텍,2020-01-03,141000,143000,138000,139500,111472,102519.0,68021.0,164555.0,0.9894,0.9929,1.0,1.0448,138600.0,1.0065,133350.0,1.0461
010060,OCI,2020-01-03,63000,63400,62400,62800,86767,75168.0,55375.0,71580.0,0.9968,1.0016,0.9968,1.0212,62540.0,1.0042,62165.0,1.0102
100840,S&TC,2020-01-03,19800,19900,19550,19800,20262,20080.0,13998.0,36995.0,1.0,0.995,0.9975,1.0206,19820.0,0.999,18977.5,1.0433
064960,S&T모티브,2020-01-03,43700,43900,42600,43550,54892,51916.0,34957.0,26717.0,0.9966,1.0116,1.0094,0.9988,43040.0,1.0118,43095.0,1.0106
001740,SK네트웍스,2020-01-03,5890,5910,5780,5850,1041948,603316.0,504893.0,756497.0,0.9932,0.9933,0.9966,0.9983,5940.0,0.9848,5896.0,0.9922
096770,SK이노베이션,2020-01-03,147500,150000,146500,149500,274564,217016.0,156222.0,232178.0,1.0136,0.9734,0.9934,1.0,150400.0,0.994,148600.0,1.0061
011810,STX,2020-01-03,8220,8220,8100,8170,14740,26036.0,28820.0,12464.0,0.9939,1.0225,1.0012,1.019,8084.0,1.0106,8007.5,1.0203
024070,WISCOM,2020-01-03,2775,2780,2700,2735,90225,817172.0,14936.0,25563.0,0.9856,1.0414,0.987,0.9981,2712.0,1.0085,2649.25,1.0324
011420,갤럭시아에스엠,2020-01-03,1535,1535,1485,1495,83609,77580.0,40592.0,19237.0,0.9739,1.0168,0.9834,0.9869,1505.0,0.9934,1563.25,0.9563
267290,경동도시가스,2020-01-03,21250,21350,21050,21200,5586,3034.0,4419.0,7114.0,0.9976,1.0071,0.9977,1.0024,21290.0,0.9958,21424.0,0.9895
012320,경동인베스트,2020-01-03,37000,37000,36400,36750,2650,2214.0,3454.0,1258.0,0.9932,1.011,1.0041,0.9973,36530.0,1.006,36152.5,1.0165
010130,고려아연,2020-01-03,426000,426500,420500,425500,29352,23211.0,30722.0,31047.0,0.9988,0.9907,0.9895,1.0047,425500.0,1.0,421925.0,1.0085
002240,고려제강,2020-01-03,20500,20950,20450,20900,17195,15787.0,10617.0,12475.0,1.0195,1.0024,0.9976,1.005,20570.0,1.016,20432.5,1.0229
014530,극동유화,2020-01-03,3450,3995,3415,3580,7591585,50843.0,75612.0,111693.0,1.0377,0.9957,0.9914,0.983,3509.0,1.0202,3497.75,1.0235
013700,까뮤이앤씨,2020-01-03,1320,1355,1290,1305,6411669,2640933.0,907218.0,1043362.0,0.9886,1.0156,1.012,1.0243,1277.0,1.0219,1253.75,1.0409
003920,남양유업,2020-01-03,437000,443000,435500,439500,898,1057.0,730.0,786.0,1.0057,1.0034,1.0162,0.9954,436100.0,1.0078,429675.0,1.0229
014160,대영포장,2020-01-03,1130,1135,1115,1125,746232,809210.0,352574.0,382170.0,0.9956,1.0135,1.0045,1.0,1114.0,1.0099,1087.75,1.0342
003220,대원제약,2020-01-03,17300,17350,17000,17150,22487,23518.0,33021.0,20990.0,0.9913,1.0,1.0117,1.0118,17140.0,1.0006,16910.0,1.0142
